uf_arbitragem;n;perc;media_dias_ate_termo;mediana_dias_ate_termo;minimo_dias_ate_termo;maximo_dias_ate_termo;desvio_padrao_dias_ate_termo
Federal;15;0,6521739130434783;1435,73333333333;974,0;230;7221;1656,105046127667
SP;6;0,2608695652173913;1169,83333333333;1123,0;938;1447;217,890262900082
RJ;2;0,0869565217391304;1610,50000000000;1610,5;1180;2041;608,818938601617
